codvend;total_vlrliq;total_comissao_base;ajuste_desconto;ajuste_premio;total_comissao_final;status
000001;14057.94;492.02790000000005;0.0;0.0;492.02790000000005;enviado
000004;413149.22899999947;13289.954641999992;100.0;250.0;13439.954641999992;rascunho
000006;686800.904999999;21113.811661000032;0.0;0.0;21113.811661000032;rascunho
000010;50536.43999999998;1699.6131999999993;0.0;0.0;1699.6131999999993;rascunho
000011;418438.56679999985;14131.441124000004;0.0;0.0;14131.441124000004;rascunho
000012;2077441.0500000007;76610.0151;0.0;0.0;76610.0151;rascunho
000019;114423.58000000002;4526.457000000001;0.0;0.0;4526.457000000001;rascunho
000091;1130682.7640000011;13731.24788800002;0.0;0.0;13731.24788800002;rascunho
000098;-1117.33;-45.2367;0.0;0.0;-45.2367;rascunho
000100;465136.4100000001;19661.9803;0.0;0.0;19661.9803;rascunho
000212;968971.5859000003;9689.715858999998;0.0;0.0;9689.715858999998;rascunho
000281;131767.04360000012;4961.404903999999;0.0;0.0;4961.404903999999;rascunho
000284;405679.3851400001;16107.861524000002;0.0;0.0;16107.861524000002;rascunho
000297;110306.18999999999;3991.6040999999987;0.0;0.0;3991.6040999999987;rascunho
000304;410555.6223100008;6171.396334649985;0.0;0.0;6171.396334649985;rascunho
000336;218265.71349999995;8423.777155000002;0.0;0.0;8423.777155000002;rascunho
000340;2285086.5515999985;76369.15875600002;0.0;0.0;76369.15875600002;rascunho
000364;585409.5770999978;21768.305606999984;0.0;0.0;21768.305606999984;rascunho
000365;118233.40550000002;4467.449335000001;0.0;0.0;4467.449335000001;rascunho
000368;19971.66;823.176999999999;0.0;0.0;823.176999999999;rascunho
000370;408256.84376;15060.293706399998;0.0;0.0;15060.293706399998;rascunho
000399;240707.2695999999;9823.646725999992;0.0;0.0;9823.646725999992;rascunho
000412;356470.0111;14295.571097000002;0.0;0.0;14295.571097000002;rascunho
000420;2888593.9999580127;104358.55373561947;0.0;0.0;104358.55373561947;rascunho
000425;43620.41340000001;1575.1888019999992;0.0;0.0;1575.1888019999992;rascunho
000464;62079.36;1055.34912;0.0;0.0;1055.34912;rascunho
000493;-270.13;-13.5065;0.0;0.0;-13.5065;rascunho
000497;2126276.41987;42525.52839739996;0.0;0.0;42525.52839739996;rascunho
000501;134368.67000000004;5086.783699999996;0.0;0.0;5086.783699999996;rascunho
000528;337762.8045999998;12118.477384000016;0.0;0.0;12118.477384000016;rascunho
000533;300804.20959999994;11212.692427999998;0.0;0.0;11212.692427999998;rascunho
000547;2335626.8732999978;52577.437750999954;0.0;0.0;52577.437750999954;rascunho
000559;454260.4400000001;17984.144950000013;0.0;0.0;17984.144950000013;rascunho
000566;482488.75920000003;18953.382491999997;0.0;0.0;18953.382491999997;rascunho
000571;21741.589999999997;686.8509;0.0;0.0;686.8509;rascunho
000589;354353.05000000016;13266.337300000005;0.0;0.0;13266.337300000005;rascunho
000594;281791.33000000013;10292.482700000006;0.0;0.0;10292.482700000006;rascunho
000622;246294.27999999994;6157.357000000001;0.0;0.0;6157.357000000001;rascunho
000717;173693.44999999995;6663.026100000001;0.0;0.0;6663.026100000001;rascunho
000721;974416.7541999996;32314.390610000006;0.0;0.0;32314.390610000006;rascunho
000963;40859.56875;1405.0164375;0.0;0.0;1405.0164375;rascunho
000964;331722.4980000001;11206.333900000005;0.0;0.0;11206.333900000005;rascunho
000981;77590.23986999998;225.90619935000012;0.0;0.0;225.90619935000012;rascunho
000983;6101.741999999998;290.88666;0.0;0.0;290.88666;rascunho
000984;217538.45920000004;7185.326016;0.0;0.0;7185.326016;rascunho
000987;38468.72;1659.812;0.0;0.0;1659.812;rascunho
000991;22239.09;762.4350999999998;0.0;0.0;762.4350999999998;rascunho
000992;45980.600000000006;2060.4500000000007;0.0;0.0;2060.4500000000007;rascunho
000993;4872.96;146.1888;0.0;0.0;146.1888;rascunho
000994;6588.248799999999;329.41244;0.0;0.0;329.41244;rascunho
000995;21808.331999999995;654.2499599999999;0.0;0.0;654.2499599999999;rascunho
000997;24993.81999999999;843.0660000000003;0.0;0.0;843.0660000000003;rascunho
000998;72345.53050000008;2531.0490950000053;0.0;0.0;2531.0490950000053;rascunho
000999;6856.199999999999;253.41499999999994;0.0;0.0;253.41499999999994;rascunho
001000;27375.5768;997.2611920000004;0.0;0.0;997.2611920000004;rascunho
