codvend;total_vlrliq;total_comissao;status
000001;14057.94;0.0;aprovado
000004;413149.229;0.0;rascunho
000006;686800.905;0.0;rascunho
000010;50536.44;0.0;rascunho
000011;418438.5668;0.0;rascunho
000012;2077441.05;31161.615749999997;rascunho
000019;114423.58;0.0;rascunho
000091;1130682.764;16960.241459999997;rascunho
000098;-1117.33;0.0;rascunho
000100;465136.41000000003;0.0;rascunho
000212;968971.5859;9689.715859;rascunho
000281;131767.0436;0.0;rascunho
000284;405679.38514;4056.7938514;rascunho
000297;110306.19;0.0;rascunho
000304;410555.62231;6158.33433465;rascunho
000336;218265.71349999998;0.0;rascunho
000340;2285086.5516;27421.0386192;rascunho
000364;585409.5771;0.0;rascunho
000365;118233.40550000001;0.0;rascunho
000368;19971.66;0.0;rascunho
000370;408256.84376;0.0;rascunho
000399;240707.2696;0.0;rascunho
000412;356470.0111;0.0;rascunho
000420;2888593.999958;43328.90999937;rascunho
000425;43620.4134;0.0;rascunho
000464;62079.36;0.0;rascunho
000493;-270.13;0.0;rascunho
000497;2126276.41987;42525.5283974;rascunho
000501;134368.67;0.0;rascunho
000528;337762.8046;0.0;rascunho
000533;300804.2096;0.0;rascunho
000547;2335626.8733;0.0;rascunho
000559;454260.44;0.0;rascunho
000566;482488.75920000003;0.0;rascunho
000571;21741.59;0.0;rascunho
000589;354353.05;0.0;rascunho
000594;281791.33;0.0;rascunho
000622;246294.28;0.0;rascunho
000717;173693.45;0.0;rascunho
000721;974416.7542;0.0;rascunho
000963;40859.56875;0.0;rascunho
000964;331722.498;0.0;rascunho
000981;77590.23987;1163.85359805;rascunho
000983;6101.742;0.0;rascunho
000984;217538.45919999998;0.0;rascunho
000987;38468.72;0.0;rascunho
000991;22239.09;0.0;rascunho
000992;45980.6;0.0;rascunho
000993;4872.96;0.0;rascunho
000994;6588.248799999999;0.0;rascunho
000995;21808.332;0.0;rascunho
000997;24993.82;0.0;rascunho
000998;72345.5305;0.0;rascunho
000999;6856.2;0.0;rascunho
001000;27375.5768;0.0;rascunho
